brand_name,n_categories
UNKNOWN_BRAND,220
Choice L,71
Good Today,22
Ottogi,22
LOTTE,16
CP,15
Choice-L,15
365 Fresh,15
Cholimex,14
Ponie,13
TH,13
Wipro,13
Unilever,13
G Kitchen,12
Vinamilk,12
Cocoon,12
LC Foods,11
No,11
P&G,11
Vissan,10
Nivea,10
Ông Chà Và,10
Inochi,10
Chinsu,10
Basic Icon,10
SG Food,9
Yorihada,9
MEIZAN,8
Bioré,8
X-Men,8
Xmen,8
Sunhouse,8
Senka,8
Cầu Tre,7
Oishi,7
AJINOMOTO,7
Orion,7
Sagri,7
Coca-Cola,7
Milaganics,7
Bibigo,7
Tự Lập,7
Meiji,7
LEE KUM KEE,7
Bích Chi,6
TH True Milk,6
BioHome,6
Ohi@Ma,6
O'food,6
Zebra,6
Âu Lạc,6
Dh Foods,6
VIFON,6
Le Gourment,5
KiaOra,5
Emborg,5
Hatomugi,5
Thiên Long,5
Tithafac,5
Super Chef,5
Compliment,5
Anchor,5
An Lạc,5
Meaty ChopShop,5
Niwatori,5
CHIN-SU,5
Cozy,5
Pulmuone,5
Acnes,5
Đức Việt,5
Dove,5
Love In Farm,4
Enchanteur,4
Uno,4
Lifebuoy,4
Thoại An,4
Knorr,4
KAI,4
Hawonkoo,4
Lock&Lock,4
Golden Farm,4
WILMAR,4
Happy Cook,4
Haidilao,4
Phúc Thịnh Vượng,4
P/S,4
Oral Clean,4
OKINI,4
Clever Hippo,4
On Line,4
Dalat Hasfarm,4
Hoàng Gia,4
LOTHAMILK,4
Trí Việt Phát Foods,4
Lix,4
Maggi,4
MR.VIET,4
Lof,4
Comet,4
Purité,4
Ocean,4
Elastine,4
Spriing,4
Neutrogena,4
Romano,4
Wyn,4
Ba Huân,4
Nutifood,4
Sempio,4
Nam Dương,4
Simple,4
Miwon,4
Tam Nông,4
Freshfoco,4
Genkai,4
Hada Labo,4
Hazeline,3
Kitkool,3
An Nhiên,3
Jojo,3
Yến Việt,3
Inomata,3
KIRIN,3
Ichiban,3
Feddy,3
Blue,3
Bamboo Salt,3
Barona,3
Việt Sin,3
Hadalabo,3
Green Farm,3
Gia Vị Trân Châu,3
Vedette,3
Barilla,3
Tâm Hữu Dũng,3
Kun,3
LOTTE confectionery,3
Koja,3
LASHE,3
Kuehne,3
Bless You,3
Bauer,3
Beauty Formulas,3
Archcafé,3
Vipep,3
Meat Master,3
Elmich,3
Lipzo,3
