bill_id,n_categories
0,9
1,16
2,12
3,10
4,10
5,8
6,11
7,15
8,7
9,10
10,16
11,8
12,6
13,4
14,3
15,10
16,13
17,15
18,12
19,5
20,15
21,10
22,4
23,9
24,7
25,11
26,17
27,9
28,6
29,7
30,14
31,10
32,4
33,7
34,8
35,10
36,17
37,7
38,5
39,5
40,5
41,12
42,9
43,8
44,7
45,8
46,8
47,16
48,4
49,5
50,12
51,9
52,10
53,12
54,8
55,8
56,14
57,7
58,6
59,4
60,4
61,11
62,8
63,10
64,14
65,12
66,13
67,8
68,5
69,9
70,16
71,12
72,12
73,6
74,13
75,10
76,9
77,8
78,14
79,7
80,9
81,10
82,4
83,11
84,6
85,8
86,7
87,14
88,4
89,8
90,12
91,4
92,6
93,5
94,9
95,6
96,9
97,9
98,6
99,5
100,6
101,6
102,10
103,9
104,11
105,5
106,13
107,10
108,5
109,10
110,12
111,7
112,7
113,9
114,15
115,5
116,11
117,6
118,7
119,4
120,7
121,7
122,3
123,12
124,11
125,6
126,12
127,15
128,10
129,7
130,13
131,9
132,5
133,13
134,7
135,12
136,14
137,13
138,10
139,9
140,14
141,5
142,8
143,9
144,11
145,9
146,7
147,5
148,10
149,9
150,13
151,4
152,14
153,12
154,6
155,10
156,4
157,11
158,9
159,8
160,11
161,9
162,9
163,5
164,13
165,5
166,8
167,5
168,9
169,12
170,8
171,13
172,9
173,9
174,6
175,6
176,10
177,4
178,12
179,7
180,4
181,10
182,11
183,8
184,11
185,10
186,6
187,13
188,7
189,5
190,9
191,14
192,16
193,5
194,6
195,5
196,6
197,8
198,16
199,7
200,5
201,9
202,9
203,8
204,10
205,6
206,9
207,10
208,11
209,9
210,11
211,7
212,11
213,4
214,6
215,6
216,11
217,10
218,4
219,11
220,10
221,10
222,9
223,6
224,4
225,10
226,7
227,9
228,9
229,5
230,5
231,7
232,10
233,6
234,11
235,10
236,6
237,5
238,6
239,8
240,10
241,12
242,5
243,9
244,7
245,6
246,7
247,5
248,10
249,6
250,6
251,6
252,13
253,11
254,4
255,10
256,7
257,11
258,9
259,10
260,11
261,15
262,5
263,14
264,8
265,5
266,11
267,5
268,3
269,7
270,5
271,6
272,7
273,4
274,11
275,4
276,6
277,10
278,7
279,8
280,14
281,9
282,4
283,6
284,8
285,12
286,4
287,12
288,9
289,8
290,6
291,12
292,12
293,13
294,5
295,11
296,9
297,11
298,10
299,11
300,7
301,9
302,4
303,4
304,10
305,2
306,6
307,5
308,6
309,6
310,5
311,8
312,10
313,9
314,11
315,6
316,8
317,7
318,8
319,13
320,12
321,6
322,7
323,6
324,10
325,7
326,9
327,11
328,14
329,5
330,7
331,9
332,13
333,6
334,5
335,6
336,8
337,8
338,5
339,8
340,12
341,6
342,9
343,12
344,11
345,6
346,10
347,7
348,9
349,12
350,6
351,6
352,8
353,12
354,13
355,11
356,11
357,6
358,6
359,11
360,8
361,10
362,8
363,11
364,10
365,11
366,10
367,9
368,9
369,7
370,9
371,9
372,4
373,10
374,11
375,12
376,12
377,6
378,12
379,10
380,8
381,11
382,4
383,12
384,5
385,6
386,6
387,15
388,8
389,5
390,7
391,6
392,7
393,14
394,12
395,12
396,13
397,5
398,9
