bill_id,n_items
0,11
1,20
2,18
3,12
4,15
5,13
6,18
7,20
8,10
9,11
10,19
11,13
12,11
13,12
14,6
15,14
16,16
17,20
18,21
19,13
20,20
21,10
22,9
23,11
24,9
25,12
26,19
27,14
28,13
29,11
30,19
31,13
32,10
33,8
34,9
35,14
36,20
37,9
38,6
39,12
40,8
41,15
42,15
43,13
44,12
45,10
46,9
47,20
48,14
49,8
50,15
51,14
52,14
53,17
54,9
55,13
56,20
57,9
58,15
59,15
60,7
61,13
62,13
63,10
64,17
65,15
66,17
67,8
68,10
69,10
70,19
71,16
72,14
73,8
74,17
75,14
76,11
77,11
78,20
79,10
80,14
81,13
82,7
83,13
84,11
85,12
86,12
87,15
88,6
89,9
90,20
91,8
92,7
93,9
94,9
95,13
96,12
97,9
98,11
99,8
100,8
101,6
102,16
103,9
104,16
105,15
106,20
107,11
108,9
109,14
110,19
111,9
112,12
113,11
114,16
115,11
116,14
117,8
118,8
119,6
120,11
121,9
122,8
123,14
124,12
125,7
126,14
127,20
128,15
129,12
130,20
131,13
132,9
133,17
134,9
135,18
136,17
137,14
138,12
139,13
140,17
141,6
142,13
143,12
144,14
145,15
146,11
147,10
148,15
149,14
150,16
151,7
152,16
153,13
154,7
155,14
156,6
157,12
158,11
159,13
160,13
161,16
162,10
163,7
164,15
165,12
166,14
167,11
168,10
169,19
170,11
171,19
172,12
173,9
174,8
175,13
176,10
177,7
178,15
179,9
180,9
181,11
182,19
183,8
184,14
185,16
186,8
187,20
188,11
189,14
190,11
191,15
192,19
193,9
194,7
195,8
196,11
197,11
198,19
199,9
200,7
201,13
202,13
203,14
204,13
205,8
206,11
207,16
208,16
209,10
210,14
211,12
212,18
213,8
214,8
215,8
216,14
217,15
218,6
219,12
220,16
221,18
222,14
223,7
224,7
225,13
226,7
227,18
228,13
229,6
230,5
231,8
232,14
233,11
234,11
235,11
236,6
237,7
238,11
239,11
240,11
241,13
242,8
243,14
244,16
245,8
246,10
247,7
248,12
249,7
250,9
251,7
252,13
253,13
254,8
255,11
256,7
257,18
258,11
259,18
260,18
261,15
262,8
263,19
264,11
265,6
266,17
267,8
268,6
269,16
270,8
271,13
272,11
273,8
274,13
275,9
276,7
277,10
278,7
279,10
280,17
281,15
282,7
283,8
284,8
285,15
286,8
287,12
288,10
289,11
290,7
291,14
292,14
293,16
294,7
295,17
296,10
297,16
298,12
299,12
300,9
301,11
302,6
303,6
304,13
305,8
306,8
307,8
308,10
309,8
310,9
311,9
312,18
313,12
314,16
315,7
316,9
317,9
318,11
319,16
320,15
321,10
322,8
323,10
324,13
325,7
326,14
327,13
328,16
329,8
330,9
331,13
332,13
333,10
334,8
335,9
336,11
337,14
338,6
339,10
340,14
341,10
342,16
343,16
344,18
345,6
346,11
347,12
348,12
349,18
350,8
351,8
352,12
353,17
354,18
355,13
356,16
357,8
358,8
359,13
360,10
361,17
362,10
363,16
364,14
365,19
366,10
367,12
368,14
369,12
370,10
371,9
372,5
373,16
374,17
375,14
376,17
377,8
378,18
379,14
380,9
381,14
382,9
