ante_parent_cat,cons_parent_cat,co_count,ante_count,cons_count,support,confidence,lift,leverage
Điện Gia Dụng,Trà,8,24,311,0.0018058690744920992,0.3333333333333333,4.748124330117899,0.0014255359262977136
Thịt Bò,"Xả Vải, Xịt Vải, Nước Tẩy",46,54,829,0.01038374717832957,0.8518518518518519,4.552115444757182,0.008102665491289126
"Bột Giặt, Nước Giặt, Viên Giặt","Xả Vải, Xịt Vải, Nước Tẩy",652,812,829,0.1471783295711061,0.8029556650246306,4.290824603207615,0.11287761975857202
"Xả Vải, Xịt Vải, Nước Tẩy","Bột Giặt, Nước Giặt, Viên Giặt",652,829,812,0.1471783295711061,0.7864897466827503,4.290824603207615,0.11287761975857202
Thịt Bò,"Bánh Bao, Giò Chả, Đậu Hủ",13,54,252,0.002934537246049661,0.24074074074074073,4.23206937095826,0.0022411324388914083
Chăm Sóc Nam Giới,Chăm Sóc Nhà Cửa,21,23,989,0.004740406320541761,0.9130434782608695,4.089770079570933,0.0035813176118094873
Thú Cưng,Chăm Sóc Nhà Cửa,60,66,989,0.013544018058690745,0.9090909090909091,4.072065447191838,0.01021793741624161
Thịt Bò,Chăm Sóc Nhà Cửa,49,54,989,0.011060948081264108,0.9074074074074074,4.0645245852525935,0.008339609373805726
Đồ Dùng Phòng Ngủ,"Bột Giặt, Nước Giặt, Viên Giặt",38,52,812,0.008577878103837472,0.7307692307692307,3.9868321333838574,0.006426325739239436
Thú Cưng,"Xả Vải, Xịt Vải, Nước Tẩy",49,66,829,0.011060948081264108,0.7424242424242424,3.967357531893117,0.00827295935265912
"Bột Giặt, Nước Giặt, Viên Giặt",Chăm Sóc Nhà Cửa,719,812,989,0.16230248306997744,0.8854679802955665,3.966251923871951,0.12138161213560325
Chăm Sóc Nhà Cửa,"Bột Giặt, Nước Giặt, Viên Giặt",719,989,812,0.16230248306997744,0.7269969666329625,3.9662519238719507,0.12138161213560325
Đồ Dùng Phòng Ngủ,Chăm Sóc Nhà Cửa,46,52,989,0.01038374717832957,0.8846153846153846,3.962432915921288,0.007763198793369647
Chăm Sóc Nam Giới,"Xả Vải, Xịt Vải, Nước Tẩy",17,23,829,0.003837471783295711,0.7391304347826086,3.9497561231447,0.002865899953630337
"Bánh Bao, Giò Chả, Đậu Hủ","Xả Vải, Xịt Vải, Nước Tẩy",186,252,829,0.04198645598194131,0.7380952380952381,3.9442242518237696,0.03134140810908591
"Xả Vải, Xịt Vải, Nước Tẩy","Bánh Bao, Giò Chả, Đậu Hủ",186,829,252,0.04198645598194131,0.2243667068757539,3.944224251823769,0.03134140810908591
"Xả Vải, Xịt Vải, Nước Tẩy",Chăm Sóc Nhà Cửa,727,829,989,0.16410835214446953,0.8769601930036188,3.9281432305419934,0.12233076346885845
Chăm Sóc Nhà Cửa,"Xả Vải, Xịt Vải, Nước Tẩy",727,989,829,0.16410835214446953,0.7350859453993933,3.928143230541993,0.12233076346885845
"Bánh Bao, Giò Chả, Đậu Hủ","Bột Giặt, Nước Giặt, Viên Giặt",178,252,812,0.04018058690744921,0.7063492063492064,3.853604660254907,0.029753833140551036
"Bột Giặt, Nước Giặt, Viên Giặt","Bánh Bao, Giò Chả, Đậu Hủ",178,812,252,0.04018058690744921,0.21921182266009853,3.853604660254907,0.029753833140551036
Sữa Bột,"Bơ, Phô Mai",11,62,210,0.0024830699774266367,0.1774193548387097,3.7427035330261136,0.00181962710638016
Thú Cưng,"Bánh Bao, Giò Chả, Đậu Hủ",14,66,252,0.003160270880361174,0.21212121212121213,3.7289562289562292,0.0023127761160566425
"Bánh Bao, Giò Chả, Đậu Hủ",Chăm Sóc Nhà Cửa,203,252,989,0.04582392776523702,0.8055555555555556,3.608302437928323,0.03312434713043124
Chăm Sóc Nhà Cửa,"Bánh Bao, Giò Chả, Đậu Hủ",203,989,252,0.04582392776523702,0.20525783619817997,3.6083024379283226,0.03312434713043124
Thịt Bò,"Bột Giặt, Nước Giặt, Viên Giặt",35,54,812,0.007900677200902935,0.6481481481481481,3.536079182630907,0.005666372822281897
Thiết Bị Nhà Bếp,Chăm Sóc Cơ Thể,24,43,702,0.005417607223476298,0.5581395348837209,3.5221625919300337,0.0038794592583911254
